,pnu,ldCode,pblntfPclnd,lndpclAr,prposArea1,lndcgrCode,tpgrphHgCode,tpgrphFrmCode,roadSideCode,pclndIndex,pclndChgRt,juso,trafficAmount,distance
38,4111113200100050005,4111113200,163700,1357,43,02,03,07,12,105.761,0.161,경기도 수원시 장안구 율전동 5-5,505562,1.592849835264018
39,4111113200100050006,4111113200,178400,719,43,01,03,07,12,105.761,0.161,경기도 수원시 장안구 율전동 5-6,505562,1.539838854397026
40,4111113300100090001,4111113300,239200,408,43,17,02,00,00,106.427,0.179,경기도 수원시 장안구 천천동 9-1,1553317,1.466811028308662
41,4111113300100090002,4111113300,171600,122.6,43,14,00,00,00,106.427,0.179,경기도 수원시 장안구 천천동 9-2,1553317,1.469468836137516
42,4111113300100100001,4111113300,239200,114,43,17,02,00,00,106.427,0.179,경기도 수원시 장안구 천천동 10-1,1553317,1.47653460109685
43,4111113300100110003,4111113300,543000,3791,43,01,02,07,02,106.427,0.179,경기도 수원시 장안구 천천동 11-3,1553317,1.536080223428977
44,4111113300100120001,4111113300,239200,161,43,17,00,00,00,106.427,0.179,경기도 수원시 장안구 천천동 12-1,1553317,1.531652530636437
45,4111113300100130001,4111113300,171600,2487.2,43,14,02,00,00,106.427,0.179,경기도 수원시 장안구 천천동 13-1,1553317,1.51242238063128
46,4111113300100130003,4111113300,543000,109,43,01,02,07,02,106.427,0.179,경기도 수원시 장안구 천천동 13-3,1553317,1.492031021649938
47,4111113300100160001,4111113300,543000,255,43,01,02,07,02,106.427,0.179,경기도 수원시 장안구 천천동 16-1,1553317,1.568519758932631
48,4111113300100170001,4111113300,543000,12612,43,01,02,07,02,106.427,0.179,경기도 수원시 장안구 천천동 17-1,1553317,1.607964851676952
49,4111113300100180001,4111113300,543000,10907,43,01,02,07,02,106.427,0.179,경기도 수원시 장안구 천천동 18-1,1553317,1.540463540600481
50,4111113400100010000,4111113400,1371000,15051,13,08,02,07,02,105.695,0.073,경기도 수원시 장안구 영화동 1,2733957,2.438690169710988
51,4111113400100010001,4111113400,1371000,3152,13,08,02,07,02,105.695,0.073,경기도 수원시 장안구 영화동 1-1,2733957,2.326623809930235
52,4111113400100010003,4111113400,1371000,823,13,08,02,07,02,105.695,0.073,경기도 수원시 장안구 영화동 1-3,2733957,2.270962950402883
53,4111113400100010004,4111113400,402600,2186,13,14,02,07,04,105.695,0.073,경기도 수원시 장안구 영화동 1-4,2733957,2.288991612189701
54,4111113400100030003,4111113400,1371000,1840,13,28,02,07,02,105.695,0.073,경기도 수원시 장안구 영화동 3-3,2733957,2.527143557598941
55,4111113400100030005,4111113400,537900,56,13,14,00,00,00,105.695,0.073,경기도 수원시 장안구 영화동 3-5,2733957,2.67274339352293
56,4111113400100030010,4111113400,1220000,210,13,08,02,07,01,105.695,0.073,경기도 수원시 장안구 영화동 3-10,2733957,2.58429591396058
57,4111113400100030023,4111113400,1268000,212,13,08,02,02,01,105.695,0.073,경기도 수원시 장안구 영화동 3-23,2733957,2.561370070614704
58,4111113400100030024,4111113400,1268000,236,13,08,02,07,03,105.695,0.073,경기도 수원시 장안구 영화동 3-24,2733957,2.541538556275299
59,4111113400100030025,4111113400,927200,421,13,08,02,07,08,105.695,0.073,경기도 수원시 장안구 영화동 3-25,2733957,2.568512687421078
60,4111113500100010000,4111113500,82600,840,44,02,03,07,12,104.18,0.167,경기도 수원시 장안구 송죽동 1,1553317,2.359224050267796
61,4111113500100020000,4111113500,70700,774,44,02,03,07,12,104.18,0.167,경기도 수원시 장안구 송죽동 2,1553317,2.247791874416187
62,4111113500100030000,4111113500,81000,426,44,01,03,07,10,104.18,0.167,경기도 수원시 장안구 송죽동 3,1553317,2.318865696120196
63,4111113500100040000,4111113500,89100,3441,44,02,03,07,10,104.18,0.167,경기도 수원시 장안구 송죽동 4,1553317,2.392095722982164
